drift_type,drift,raw_acc,raw_conf,raw_ent,model
noise,0.0,0.9758084336926371,0.9466868234689086,0.1558466787521162,Logistic Regression
noise,0.2,0.9622555387802396,0.937333198415412,0.1694754368365596,Logistic Regression
noise,0.5,0.8830097257821004,0.919424907014044,0.1923804229271291,Logistic Regression
noise,1.0,0.7571363365050384,0.9287849807511136,0.1655071998097457,Logistic Regression
scale,0.0,0.9758084336926371,0.9466868234689086,0.1558466787521162,Logistic Regression
scale,0.2,0.964994206664092,0.9375485553199364,0.1707902438835972,Logistic Regression
scale,0.5,0.9348688599417156,0.9248918142400336,0.1910511659853496,Logistic Regression
scale,1.0,0.8694919419964187,0.9105390807303498,0.210155242635945,Logistic Regression
bias,0.0,0.9758084336926371,0.9466868234689086,0.1558466787521162,Logistic Regression
bias,0.2,0.9821986587549596,0.958842445098835,0.1267901068375811,Logistic Regression
bias,0.5,0.9884133281837014,0.9725825043138352,0.091075160767842,Logistic Regression
bias,1.0,0.9932411081071592,0.98635400415988,0.050294896200687,Logistic Regression
noise,0.0,0.9994908886626171,0.999401004178224,0.0022788663040667,Random Forest
noise,0.2,0.9994382219725432,0.999076577367368,0.0039373417345402,Random Forest
noise,0.5,0.9993504441557528,0.9983044836908816,0.0080227513175309,Random Forest
noise,1.0,0.9991397773954568,0.995422825743478,0.0231533359448678,Random Forest
scale,0.0,0.9994908886626171,0.999401004178224,0.0022788663040667,Random Forest
scale,0.2,0.9994908886626171,0.9992159685404304,0.0031002343327683,Random Forest
scale,0.5,0.9994382219725432,0.9988462483761104,0.0046897174747354,Random Forest
scale,1.0,0.9993679997191108,0.9984070081808925,0.0070426513662501,Random Forest
bias,0.0,0.9994908886626171,0.999401004178224,0.0022788663040667,Random Forest
bias,0.2,0.9993153330290367,0.9992444963308872,0.0031261690128734,Random Forest
bias,0.5,0.9992451107756049,0.9985459604648712,0.0070407882166894,Random Forest
bias,1.0,0.9989642217618764,0.9969731575436256,0.0158291980961112,Random Forest
noise,0.0,0.9995786664794072,0.99988425,0.00048563242,XGB
noise,0.2,0.999403110845827,0.9998109,0.0006671461,XGB
noise,0.5,0.9993679997191108,0.9997281,0.0009383445,XGB
noise,1.0,0.9992099996488888,0.9995954,0.0016483417,XGB
scale,0.0,0.9995786664794072,0.99988425,0.00048563242,XGB
scale,0.2,0.9995786664794072,0.9998867,0.00047524905,XGB
scale,0.5,0.9995435553526912,0.99986297,0.0005499934,XGB
scale,1.0,0.9994908886626171,0.99984163,0.0006320288,XGB
bias,0.0,0.9995786664794072,0.99988425,0.00048563242,XGB
bias,0.2,0.999420666409185,0.99992514,0.00026365436,XGB
bias,0.5,0.999403110845827,0.9999068,0.00024523374,XGB
bias,1.0,0.9993328885923948,0.99991524,0.0002112382,XGB
