drift_type,drift,raw_acc,raw_conf,raw_ent,model
noise,0.0,0.9994908886626171,0.9994010041782241,0.002278866304066771,Random Forest
noise,0.2,0.9994382219725431,0.9990765773673679,0.003937341734540213,Random Forest
noise,0.5,0.9993504441557529,0.9983044836908816,0.008022751317530961,Random Forest
noise,1.0,0.9991397773954567,0.995422825743478,0.023153335944867817,Random Forest
scale,0.0,0.9994908886626171,0.9994010041782241,0.002278866304066771,Random Forest
scale,0.2,0.9994908886626171,0.9992159685404305,0.0031002343327683384,Random Forest
scale,0.5,0.9994382219725431,0.9988462483761104,0.00468971747473548,Random Forest
scale,1.0,0.9993679997191109,0.9984070081808925,0.007042651366250122,Random Forest
bias,0.0,0.9994908886626171,0.9994010041782241,0.002278866304066771,Random Forest
bias,0.2,0.9993153330290369,0.9992444963308872,0.0031261690128734144,Random Forest
bias,0.5,0.9992451107756047,0.9985459604648713,0.00704078821668947,Random Forest
bias,1.0,0.9989642217618764,0.9969731575436255,0.01582919809611127,Random Forest
